Block	Item	Span_Label	Picture	Audio_Spanish	Condition	
1	stoel	silla	chair.png	silla.wav	1
1	stier	toro	bull.png	toro.wav	1
1	handschoen	guante	glove.png	guante.wav	2
1	pop	muñeca	doll.png	muñeca.wav	2
1	strijkijzer	plancha	iron.png	plancha.wav	2
1	baksteen	ladrillo	brick.png	ladrillo.wav	2
1	mand	canasta	basket.png	canasta.wav	2
1	mier	hormiga	ant.png	hormiga.wav	1
1	knoflook	ajo	garlic.png	ajo.wav	2
1	slak	caracol	snail.png	caracol.wav	2
1	bezem	escoba	broom.png	escoba.wav	1
1	deksel	tapa	lid.png	tapa.wav	2
1	portemonnee	cartera	wallet.png	cartera.wav	2
1	emmer	cubo	bucket.png	cubo.wav	1
1	kalkoen	pavo	turkey.png	pavo.wav	2
1	blad	hoja	leaf.png	hoja.wav	2
1	armband	pulsera	bracelet.png	pulsera.wav	1
1	bijl	hacha	axe.png	hacha.wav	1
1	krijt	tiza	chalk.png	tiza.wav	2
1	eekhoorn	ardilla	squirrel.png	ardilla.wav	2
1	beha	sujetador	bra.png	sujetador.wav	2
1	fluit	silbato	whistle.png	silbato.wav	2
1	kikker	rana	frog.png	rana.wav	2
2	stoel	silla	chair.png	silla.wav	1
2	stier	toro	bull.png	toro.wav	1
2	handschoen	guante	glove.png	guante.wav	2
2	pop	muñeca	doll.png	muñeca.wav	2
2	strijkijzer	plancha	iron.png	plancha.wav	2
2	baksteen	ladrillo	brick.png	ladrillo.wav	2
2	mand	canasta	basket.png	canasta.wav	2
2	mier	hormiga	ant.png	hormiga.wav	1
2	knoflook	ajo	garlic.png	ajo.wav	2
2	slak	caracol	snail.png	caracol.wav	2
2	bezem	escoba	broom.png	escoba.wav	1
2	deksel	tapa	lid.png	tapa.wav	2
2	portemonnee	cartera	wallet.png	cartera.wav	2
2	emmer	cubo	bucket.png	cubo.wav	1
2	kalkoen	pavo	turkey.png	pavo.wav	2
2	blad	hoja	leaf.png	hoja.wav	2
2	armband	pulsera	bracelet.png	pulsera.wav	1
2	bijl	hacha	axe.png	hacha.wav	1
2	krijt	tiza	chalk.png	tiza.wav	2
2	eekhoorn	ardilla	squirrel.png	ardilla.wav	2
2	beha	sujetador	bra.png	sujetador.wav	2
2	fluit	silbato	whistle.png	silbato.wav	2
2	kikker	rana	frog.png	rana.wav	2
Block	Item	Span_Label	Picture	Audio_Spanish	Condition	
1	stoel	silla	chair.png	silla.wav	1
1	stier	toro	bull.png	toro.wav	1
1	handschoen	guante	glove.png	guante.wav	2
1	pop	muñeca	doll.png	muñeca.wav	2
1	strijkijzer	plancha	iron.png	plancha.wav	2
1	baksteen	ladrillo	brick.png	ladrillo.wav	2
1	mand	canasta	basket.png	canasta.wav	2
1	mier	hormiga	ant.png	hormiga.wav	1
1	knoflook	ajo	garlic.png	ajo.wav	2
1	slak	caracol	snail.png	caracol.wav	2
1	bezem	escoba	broom.png	escoba.wav	1
1	deksel	tapa	lid.png	tapa.wav	2
1	portemonnee	cartera	wallet.png	cartera.wav	2
1	emmer	cubo	bucket.png	cubo.wav	1
1	kalkoen	pavo	turkey.png	pavo.wav	2
1	blad	hoja	leaf.png	hoja.wav	2
1	armband	pulsera	bracelet.png	pulsera.wav	1
1	bijl	hacha	axe.png	hacha.wav	1
1	krijt	tiza	chalk.png	tiza.wav	2
1	eekhoorn	ardilla	squirrel.png	ardilla.wav	2
1	beha	sujetador	bra.png	sujetador.wav	2
1	fluit	silbato	whistle.png	silbato.wav	2
1	kikker	rana	frog.png	rana.wav	2
2	stoel	silla	chair.png	silla.wav	1
2	stier	toro	bull.png	toro.wav	1
2	handschoen	guante	glove.png	guante.wav	2
2	pop	muñeca	doll.png	muñeca.wav	2
2	strijkijzer	plancha	iron.png	plancha.wav	2
2	baksteen	ladrillo	brick.png	ladrillo.wav	2
2	mand	canasta	basket.png	canasta.wav	2
2	mier	hormiga	ant.png	hormiga.wav	1
2	knoflook	ajo	garlic.png	ajo.wav	2
2	slak	caracol	snail.png	caracol.wav	2
2	bezem	escoba	broom.png	escoba.wav	1
2	deksel	tapa	lid.png	tapa.wav	2
2	portemonnee	cartera	wallet.png	cartera.wav	2
2	emmer	cubo	bucket.png	cubo.wav	1
2	kalkoen	pavo	turkey.png	pavo.wav	2
2	blad	hoja	leaf.png	hoja.wav	2
2	armband	pulsera	bracelet.png	pulsera.wav	1
2	bijl	hacha	axe.png	hacha.wav	1
2	krijt	tiza	chalk.png	tiza.wav	2
2	eekhoorn	ardilla	squirrel.png	ardilla.wav	2
2	beha	sujetador	bra.png	sujetador.wav	2
2	fluit	silbato	whistle.png	silbato.wav	2
2	kikker	rana	frog.png	rana.wav	2
